A	whereas the EU failed to achieve its 2010 biodiversity target;
116	Emphasises the importance of mobilising both EU and national financial support from all possible sources, including the creation of a specific instrument to finance biodiversity, and of developing innovative financial mechanisms – in particular habitat banking in conjunction with offsetting – in order to reach the targets set in the area of biodiversity;
117	Stresses the need to increase the budget for research focusing on the environment and biodiversity under the next Research Framework Programme, in a manner proportionate to the huge needs and challenges associated with tackling both biodiversity loss and climate change, in order to help close identified knowledge gaps and support policy;
118	Calls on the Commission to review whether the current regulatory regime adequately incentivises strategies to enhance biodiversity, and to propose cost-effective solutions to shift spending on biodiversity from bureaucracy towards protection and enhancement;
119	Agrees that well-designed, market-based instruments aimed at internalising the external costs of consumption and production activities to the environment can contribute to achieving the objective of halting biodiversity loss if combined with incentives for green investment within the sectors concerned;
120	Welcomes the Commission's launch of the Business and Biodiversity Platform with a view to engaging the private sector in the biodiversity agenda;
121	Urges the Commission to report to Parliament and the Council on options for the introduction of payments for ecosystem services, taking into account the role of biodiversity conservation;
122	Calls on the Commission and the Member States fully to implement and fund the new Strategy for Biodiversity to 2020 by ensuring that every EU funding measure is consistent with biodiversity and water protection laws;
123	Stresses the imperative need to ensure that the next Multiannual Financial Framework (2014-2020) supports efforts to achieve the six targets set out in the Biodiversity Strategy, and that funding for the LIFE programme is stepped up; emphasises the need to focus on corporate social responsibility projects which promote biodiversity;
124	Notes, furthermore, that the enormous economic value of biodiversity offers a worthwhile return on the investment in its conservation; calls, therefore, for an increase in funding for nature conservation measures;
125	Calls on the Commission and the Member States, with a view to ensuring adequate financing of the Natura 2000 network, to ensure that at least EUR 5,8 billion per year is provided through EU and Member State funding; calls, furthermore, on the Commission and the Member States to ensure that adequate funding is made available through various EU funds (for example the CAP funds, the European Maritime and Fisheries Fund, the cohesion funds and a strengthened LIFE+ fund), with better coordination and coherence between these funds, inter alia through the concept of integrated projects, thereby improving transparency for the different regions in receipt of EU funding; calls for the EIB to be involved in developing innovative financial instruments and technical and advisory services for co-financing projects relating to biodiversity;
126	Expresses its disappointment with the proposed allocation for the new LIFE programme, which, despite its remarkable success over two decades, continues to receive an insignificant share of the EU budget; takes the view that the challenges addressed in the biodiversity and nature conservation plan call for a substantial increase in the funds allocated to the LIFE programme;
127	Notes with concern that the number of projects financed under the LIFE+ programme each year is below the indicative allocation in various Member States; invites the Commission to assess the reasons for this under-implementation and where necessary to propose changes to the rules governing the programme, particularly as regards co-financing levels;
128	Recognises the importance of green public procurement, and believes that more attention should be focused on its use, especially by public authorities in receipt of EU funding; recommends that the authorities responsible for the management and control systems created in the Member States to manage structural and cohesion funding should support projects which provide for such procedures;
129	Welcomes the Commission's proposal to invest in the protection and restoration of biodiversity under the Cohesion Fund in the 2014-2020 funding period; also recommends considering the potential of Natura 2000 for local economies and labour markets;
130	Recognises that the ‘green economy’ is a means of generating skills and employment, and calls for it to be supported with funding which will help build capacity at a local level and build on local and traditional knowledge in the fight to protect biodiversity; highlights the fact that approximately 30 % of the total allocations for cohesion policy for 2007-2013 are available for activities with a particular impact on sustainable growth; encourages the Member States, and especially local and regional authorities, in the context of halting biodiversity loss, to be more active and step up their efforts to invest in natural capital, and to use regional policy funding for natural risk prevention as an element in the preservation of natural resources and in adaptation to climate change, particularly with a view to the 2014-2020 programming period;
131	Encourages the Member States to make full use of the possibility of realigning current operational programmes to the Europe 2020 sustainable growth objectives by reconsidering investment priorities for projects, and urges them to deploy the available resources more effectively;
132	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
